"Ekara_Site_Agent","Ekara_Robot","Robot_Severity",Count
"Paris (Orange)",PAROBS0802EAWP,WARN,70
"Paris (Orange)",PAROBS0802EAWP,ERR,4
"Paris (Orange)",PAROBS2001EAWP,WARN,64
"Paris (Orange)",PAROBS2001EAWP,ERR,8
"Paris (Orange)",PAROBS0801EAWP,WARN,52
"Paris (Orange)",PAROBS0801EAWP,ERR,7
"Paris (Orange)",PAROBS0702EAWP,WARN,56
"Paris (Orange)",PAROBS0702EAWP,ERR,3
"Paris (Orange)",PAROBS1202EAWP,WARN,44
"Paris (Orange)",PAROBS1202EAWP,ERR,9
"Paris (Orange)",PAROBS1003EAWP,WARN,48
"Paris (Orange)",PAROBS1003EAWP,ERR,4
"Paris (Orange)",PAROBS2003EAWP,WARN,44
"Paris (Orange)",PAROBS2003EAWP,ERR,7
"Paris (Orange)",PAROBS1903EAWP,WARN,45
"Paris (Orange)",PAROBS1903EAWP,ERR,7
"Paris (Orange)",PAROBS6004EAWP,ERR,12
"Paris (Orange)",PAROBS6004EAWP,WARN,36
"Paris (Orange)",PAROBS0601EAWP,WARN,43
"Paris (Orange)",PAROBS0601EAWP,ERR,6
"Paris (Orange)",PAROBS5904EAWP,WARN,41
"Paris (Orange)",PAROBS5904EAWP,ERR,6
"Paris (Orange)",PAROBS0703EAWP,WARN,42
"Paris (Orange)",PAROBS0703EAWP,ERR,6
"Paris (Orange)",PAROBS0605EAWP,WARN,38
"Paris (Orange)",PAROBS0605EAWP,ERR,9
"Paris (Orange)",PAROBS1404EAWP,WARN,39
"Paris (Orange)",PAROBS1404EAWP,ERR,3
"Paris (Orange)",PAROBS0904EAWP,WARN,35
"Paris (Orange)",PAROBS0904EAWP,ERR,8
"Paris (Orange)",PAROBS1403EAWP,WARN,34
"Paris (Orange)",PAROBS1403EAWP,ERR,4
"Paris (Orange)",PAROBS1402EAWP,WARN,32
"Paris (Orange)",PAROBS1402EAWP,ERR,5
"Paris (Orange)",PAROBS2104EAWP,WARN,38
"Paris (Orange)",parobs0704EAWP,WARN,32
"Paris (Orange)",parobs0704EAWP,ERR,6
"Paris (Orange)",PAROBS2004EAWP,WARN,30
"Paris (Orange)",PAROBS2004EAWP,ERR,7
"Paris (Orange)",PAROBS1804EAWP,WARN,35
"Paris (Orange)",PAROBS5901EAWP,WARN,29
"Paris (Orange)",PAROBS5901EAWP,ERR,7
"Paris (Orange)",PAROBS1001EAWP,WARN,30
"Paris (Orange)",PAROBS1001EAWP,ERR,6
"Paris (Orange)",PAROBS5903EAWP,WARN,32
